Id,Title,TextFragment,Genre
1,After who ability already,The ancient dragon awoke from its slumber beneath the mountains.,Fantasy
2,Street create think new,The spacecraft hovered silently above the ruined city.,Science Fiction
3,Writer foot kid live issue,Footprints led from the scene to a locked room with no exit.,Mystery
4,Yes according consider,She never expected to fall in love with her rival.,Romance
5,New place,Whispers came from the attic every night at 3:00 AM.,Horror
6,Strategy policy maybe section,A wizard's curse had turned the entire village to stone.,Fantasy
7,Provide pull believe,The spacecraft hovered silently above the ruined city.,Science Fiction
8,Test election marriage,Every clue pointed to a man who died ten years ago.,Mystery
9,Catch claim go address,Their eyes met across the crowded ballroom.,Romance
10,Voice hundred,They should never have opened the old crypt.,Horror
11,That mission food teach,Elves and dwarves gathered in secret to discuss the coming war.,Fantasy
12,Role time anyone method instead,The spacecraft hovered silently above the ruined city.,Science Fiction
13,Computer pattern yet wrong throw,"The letter arrived with no return address, only a blood-red wax seal.",Mystery
14,Reflect vote agency,Their eyes met across the crowded ballroom.,Romance
15,Meeting either must recognize,Whispers came from the attic every night at 3:00 AM.,Horror
16,Later business bar blue quality,A wizard's curse had turned the entire village to stone.,Fantasy
17,Particularly turn compare learn,Cyborg agents patrolled the neon-lit alleys of Neo-Tokyo.,Science Fiction
18,Lay budget pressure,Every clue pointed to a man who died ten years ago.,Mystery
19,A particularly per whatever,Their eyes met across the crowded ballroom.,Romance
20,Myself fight court,They should never have opened the old crypt.,Horror
21,Value single many quickly,A wizard's curse had turned the entire village to stone.,Fantasy
22,Technology son edge,Cyborg agents patrolled the neon-lit alleys of Neo-Tokyo.,Science Fiction
23,Guess role difficult nice,Detective Morlan lit a cigarette and eyed the bloodstain on the carpet.,Mystery
24,Because individual public dog,She never expected to fall in love with her rival.,Romance
25,Model generation pattern,She felt the cold breath of something behind her.,Horror
26,Rather sort,Witcher's silver blade hummed as the beast approached.,Fantasy
27,Wrong who common,"He stared at the stars, knowing his DNA was no longer purely human.",Science Fiction
28,Marriage worker give short,"The letter arrived with no return address, only a blood-red wax seal.",Mystery
29,Both process treat,She never expected to fall in love with her rival.,Romance
30,Employee exist enter represent,She felt the cold breath of something behind her.,Horror
31,Action easy play,The sword shimmered with an otherworldly light as it met the demon's blade.,Fantasy
32,Really begin area act,"He stared at the stars, knowing his DNA was no longer purely human.",Science Fiction
33,Room study happen defense,She knew the killer was someone in the room.,Mystery
34,Carry rate eight pattern,She never expected to fall in love with her rival.,Romance
35,Daughter ever law language,His shadow moved even when he stood still.,Horror
36,Alone leader home window country,The ancient dragon awoke from its slumber beneath the mountains.,Fantasy
37,Its time research,The spacecraft hovered silently above the ruined city.,Science Fiction
38,Current almost,Detective Morlan lit a cigarette and eyed the bloodstain on the carpet.,Mystery
39,Fight forget issue our,Their eyes met across the crowded ballroom.,Romance
40,Article edge Democrat,His shadow moved even when he stood still.,Horror
41,Threat nor goal,The sword shimmered with an otherworldly light as it met the demon's blade.,Fantasy
42,Task instead church time,Cyborg agents patrolled the neon-lit alleys of Neo-Tokyo.,Science Fiction
43,Mind lot assume,Footprints led from the scene to a locked room with no exit.,Mystery
44,Defense somebody instead season old,Their eyes met across the crowded ballroom.,Romance
45,Clear instead result management industry,She felt the cold breath of something behind her.,Horror
46,List green miss newspaper skill,Witcher's silver blade hummed as the beast approached.,Fantasy
47,Outside into sort,The spacecraft hovered silently above the ruined city.,Science Fiction
48,At important relate hard,Detective Morlan lit a cigarette and eyed the bloodstain on the carpet.,Mystery
49,Else star age,Their eyes met across the crowded ballroom.,Romance
50,Support dream democratic,They should never have opened the old crypt.,Horror
